T,A
0,1
0.001,0.809016994374947
0.002,0.309016994374947
0.003,-0.309016994374948
0.004,-0.809016994374947
0.005,-1
0.006,-0.809016994374947
0.007,-0.309016994374948
0.008,0.309016994374947
0.009,0.809016994374948
0.01,1
0.011,0.809016994374947
0.012,0.309016994374947
0.013,-0.309016994374949
0.014,-0.809016994374947
0.015,-1
0.016,-0.809016994374948
0.017,-0.309016994374946
0.018,0.309016994374949
0.019,0.809016994374947
0.02,1
0.021,0.809016994374947
0.022,0.309016994374948
0.023,-0.309016994374947
0.024,-0.809016994374948
0.025,-1
0.026,-0.809016994374946
0.027,-0.309016994374948
0.028,0.309016994374947
0.029,0.809016994374947
0.03,1
0.031,0.809016994374948
0.032,0.309016994374948
0.033,-0.30901699437495
0.034,-0.809016994374949
0.035,-1
0.036,-0.809016994374946
0.037,-0.309016994374948
0.038,0.309016994374947
0.039,0.809016994374947
0.04,1
0.041,0.809016994374946
0.042,0.309016994374945
0.043,-0.30901699437495
0.044,-0.809016994374947
0.045,-1
0.046,-0.809016994374948
0.047,-0.309016994374948
0.048,0.30901699437495
0.049,0.809016994374949
0.05,1
0.051,0.809016994374946
0.052,0.309016994374942
0.053,-0.30901699437495
0.054,-0.809016994374947
0.055,-1
0.056,-0.809016994374948
0.057,-0.309016994374945
0.058,0.309016994374946
0.059,0.809016994374949
0.06,1
0.061,0.809016994374946
0.062,0.309016994374949
0.063,-0.309016994374949
0.064,-0.809016994374946
0.065,-1
0.066,-0.809016994374944
0.067,-0.309016994374946
0.068,0.309016994374953
0.069,0.809016994374949
0.07,1
0.071,0.809016994374946
0.072,0.309016994374942
0.073,-0.309016994374942
0.074,-0.809016994374946
0.075,-1
0.076,-0.809016994374949
0.077,-0.309016994374946
0.078,0.309016994374946
0.079,0.809016994374948
0.08,1
0.081,0.809016994374946
0.082,0.309016994374943
0.083,-0.309016994374949
0.084,-0.80901699437495
0.085,-1
0.086,-0.809016994374944
0.087,-0.309016994374939
0.088,0.309016994374945
0.089,0.809016994374944
0.09,1
0.091,0.809016994374947
0.092,0.30901699437495
0.093,-0.309016994374949
0.094,-0.809016994374946
0.095,-1
0.096,-0.809016994374945
0.097,-0.309016994374946
0.098,0.309016994374952
0.099,0.809016994374948
0.1,1
0.101,0.809016994374947
0.102,0.309016994374943
0.103,-0.309016994374955
0.104,-0.809016994374954
0.105,-1
0.106,-0.809016994374945
0.107,-0.309016994374953
0.108,0.309016994374945
0.109,0.809016994374948
0.11,1
0.111,0.809016994374943
0.112,0.30901699437495
0.113,-0.309016994374948
0.114,-0.80901699437495
0.115,-1
0.116,-0.809016994374949
0.117,-0.309016994374947
0.118,0.309016994374951
0.119,0.809016994374952
0.12,1
0.121,0.809016994374947
0.122,0.309016994374943
0.123,-0.309016994374941
0.124,-0.809016994374946
0.125,-1
0.126,-0.809016994374945
0.127,-0.30901699437494
0.128,0.309016994374944
0.129,0.809016994374948
0.13,1
0.131,0.809016994374943
0.132,0.309016994374937
0.133,-0.309016994374948
0.134,-0.80901699437495
0.135,-1
0.136,-0.809016994374941
0.137,-0.309016994374947
0.138,0.309016994374951
0.139,0.809016994374952
0.14,1
0.141,0.809016994374939
0.142,0.309016994374944
0.143,-0.309016994374954
0.144,-0.809016994374954
0.145,-1
0.146,-0.809016994374954
0.147,-0.309016994374954
0.148,0.309016994374944
0.149,0.809016994374947
0.15,1
0.151,0.809016994374952
0.152,0.309016994374951
0.153,-0.309016994374947
0.154,-0.809016994374949
0.155,-1
0.156,-0.80901699437495
0.157,-0.309016994374948
0.158,0.30901699437495
0.159,0.809016994374951
0.16,1
0.161,0.809016994374948
0.162,0.309016994374944
0.163,-0.309016994374954
0.164,-0.809016994374953
0.165,-1
0.166,-0.809016994374946
0.167,-0.309016994374941
0.168,0.309016994374957
0.169,0.809016994374955
0.17,1
0.171,0.809016994374944
0.172,0.309016994374938
0.173,-0.30901699437496
0.174,-0.809016994374957
0.175,-1
0.176,-0.80901699437495
0.177,-0.309016994374948
0.178,0.309016994374936
0.179,0.809016994374943
0.18,1
0.181,0.809016994374948
0.182,0.309016994374945
0.183,-0.30901699437494
0.184,-0.809016994374945
0.185,-1
0.186,-0.809016994374946
0.187,-0.309016994374942
0.188,0.309016994374943
0.189,0.809016994374947
0.19,1
0.191,0.809016994374944
0.192,0.309016994374938
0.193,-0.309016994374946
0.194,-0.809016994374949
0.195,-1
0.196,-0.809016994374942
0.197,-0.309016994374935
0.198,0.30901699437495
0.199,0.809016994374951
0.2,1
0.201,0.80901699437494
0.202,0.309016994374945
0.203,-0.309016994374953
0.204,-0.809016994374953
0.205,-1
0.206,-0.809016994374938
0.207,-0.309016994374929
0.208,0.30901699437497
0.209,0.809016994374946
0.21,1
0.211,0.809016994374944
0.212,0.309016994374939
0.213,-0.309016994374932
0.214,-0.80901699437494
0.215,-1
0.216,-0.809016994374951
0.217,-0.309016994374949
0.218,0.309016994374949
0.219,0.809016994374951
0.22,1
0.221,0.80901699437494
0.222,0.309016994374932
0.223,-0.309016994374939
0.224,-0.809016994374944
0.225,-1
0.226,-0.809016994374946
0.227,-0.309016994374943
0.228,0.309016994374956
0.229,0.809016994374955
0.23,1
0.231,0.809016994374936
0.232,0.309016994374953
0.233,-0.309016994374945
0.234,-0.809016994374948
0.235,-1
0.236,-0.809016994374943
0.237,-0.309016994374936
0.238,0.309016994374962
0.239,0.809016994374958
0.24,1
0.241,0.809016994374949
0.242,0.309016994374946
0.243,-0.309016994374952
0.244,-0.809016994374952
0.245,-1
0.246,-0.809016994374955
0.247,-0.309016994374957
0.248,0.309016994374942
0.249,0.809016994374946
0.25,1
0.251,0.809016994374945
0.252,0.30901699437494
0.253,-0.309016994374958
0.254,-0.809016994374956
0.255,-1
0.256,-0.809016994374951
0.257,-0.30901699437495
0.258,0.309016994374948
0.259,0.80901699437495
0.26,1
0.261,0.809016994374941
0.262,0.309016994374933
0.263,-0.309016994374965
0.264,-0.80901699437496
0.265,-1
0.266,-0.809016994374947
0.267,-0.309016994374943
0.268,0.309016994374955
0.269,0.809016994374954
0.27,1
0.271,0.809016994374937
0.272,0.309016994374927
0.273,-0.309016994374971
0.274,-0.809016994374948
0.275,-1
0.276,-0.809016994374943
0.277,-0.309016994374937
0.278,0.309016994374961
0.279,0.809016994374958
0.28,1
0.281,0.809016994374933
0.282,0.30901699437492
0.283,-0.309016994374978
0.284,-0.809016994374952
0.285,-1
0.286,-0.809016994374939
0.287,-0.30901699437493
0.288,0.309016994374968
0.289,0.809016994374945
0.29,1
0.291,0.809016994374962
0.292,0.309016994374968
0.293,-0.30901699437493
0.294,-0.809016994374939
0.295,-1
0.296,-0.809016994374952
0.297,-0.309016994374951
0.298,0.309016994374947
0.299,0.809016994374949
0.3,1
0.301,0.809016994374958
0.302,0.309016994374961
0.303,-0.309016994374937
0.304,-0.809016994374943
0.305,-1
0.306,-0.809016994374948
0.307,-0.309016994374944
0.308,0.309016994374954
0.309,0.809016994374953
0.31,1
0.311,0.809016994374954
0.312,0.309016994374955
0.313,-0.309016994374943
0.314,-0.809016994374947
0.315,-1
0.316,-0.809016994374944
0.317,-0.309016994374938
0.318,0.30901699437496
0.319,0.809016994374957
0.32,1
0.321,0.80901699437495
0.322,0.309016994374948
0.323,-0.30901699437495
0.324,-0.809016994374951
0.325,-1
0.326,-0.809016994374939
0.327,-0.309016994374931
0.328,0.309016994374967
0.329,0.809016994374961
0.33,1
0.331,0.809016994374946
0.332,0.309016994374942
0.333,-0.309016994374957
0.334,-0.809016994374955
0.335,-1
0.336,-0.809016994374936
0.337,-0.309016994374925
0.338,0.309016994374973
0.339,0.809016994374949
0.34,1
0.341,0.809016994374942
0.342,0.309016994374935
0.343,-0.309016994374963
0.344,-0.809016994374959
0.345,-1
0.346,-0.809016994374931
0.347,-0.309016994374918
0.348,0.30901699437498
0.349,0.809016994374953
0.35,1
0.351,0.809016994374938
0.352,0.309016994374956
0.353,-0.309016994374943
0.354,-0.809016994374946
0.355,-1
0.356,-0.809016994374961
0.357,-0.309016994374966
0.358,0.309016994374932
0.359,0.80901699437494
0.36,1
0.361,0.809016994374951
0.362,0.309016994374949
0.363,-0.309016994374949
0.364,-0.809016994374951
0.365,-1
0.366,-0.809016994374957
0.367,-0.309016994374959
0.368,0.309016994374939
0.369,0.809016994374944
0.37,1
0.371,0.809016994374946
0.372,0.309016994374943
0.373,-0.309016994374956
0.374,-0.809016994374955
0.375,-1
0.376,-0.809016994374953
0.377,-0.309016994374953
0.378,0.309016994374945
0.379,0.809016994374948
0.38,1
0.381,0.809016994374943
0.382,0.309016994374936
0.383,-0.309016994374962
0.384,-0.809016994374958
0.385,-1
0.386,-0.809016994374949
0.387,-0.309016994374946
0.388,0.309016994374952
0.389,0.809016994374952
0.39,1
0.391,0.809016994374938
0.392,0.309016994374929
0.393,-0.309016994374969
0.394,-0.809016994374963
0.395,-1
0.396,-0.809016994374945
0.397,-0.30901699437494
0.398,0.309016994374958
0.399,0.809016994374956
0.4,1
0.401,0.809016994374934
0.402,0.309016994374923
0.403,-0.309016994374975
0.404,-0.80901699437495
0.405,-1
0.406,-0.809016994374941
0.407,-0.309016994374933
0.408,0.309016994374965
0.409,0.809016994374944
0.41,1
0.411,0.809016994374947
0.412,0.309016994374916
0.413,-0.309016994374955
0.414,-0.809016994374971
0.415,-1
0.416,-0.80901699437492
0.417,-0.309016994374981
0.418,0.309016994374944
0.419,0.809016994374931
0.42,1
0.421,0.80901699437496
0.422,0.309016994374937
0.423,-0.309016994374934
0.424,-0.809016994374958
0.425,-1
0.426,-0.809016994374966
0.427,-0.309016994374947
0.428,0.309016994374924
0.429,0.809016994374952
0.43,1
0.431,0.809016994374939
0.432,0.309016994374957
0.433,-0.309016994374968
0.434,-0.809016994374945
0.435,-1
0.436,-0.809016994374945
0.437,-0.309016994374968
0.438,0.309016994374957
0.439,0.809016994374939
0.44,1
0.441,0.809016994374952
0.442,0.309016994374924
0.443,-0.309016994374947
0.444,-0.809016994374966
0.445,-1
0.446,-0.809016994374958
0.447,-0.309016994374934
0.448,0.309016994374937
0.449,0.80901699437496
0.45,1
0.451,0.809016994374931
0.452,0.309016994374944
0.453,-0.309016994374981
0.454,-0.809016994374953
0.455,-1
0.456,-0.809016994374937
0.457,-0.309016994374955
0.458,0.309016994374971
0.459,0.809016994374947
0.46,1
0.461,0.809016994374944
0.462,0.309016994374911
0.463,-0.30901699437496
0.464,-0.809016994374941
0.465,-1
0.466,-0.80901699437495
0.467,-0.309016994374921
0.468,0.30901699437495
0.469,0.809016994374968
0.47,1
0.471,0.809016994374923
0.472,0.309016994374931
0.473,-0.309016994374994
0.474,-0.809016994374961
